datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-07-21 08:00:00,1874.09,1880.66,1859.9,1869.99,171329.428,320195337.12144,132513,89516.164,167334804.23857
2021-07-21 09:00:00,1870.0,1895.64,1863.41,1891.12,192003.879,360623792.72162,148979,107481.789,201966462.7454
2021-07-21 10:00:00,1891.12,1912.3,1886.12,1899.7,243534.502,462146043.08625,195931,126301.948,239750311.63339
2021-07-21 11:00:00,1899.7,1909.93,1892.89,1904.91,119632.393,227475411.02373,117771,61435.14,116836759.63935
2021-07-21 12:00:00,1904.87,1920.0,1896.25,1898.42,202809.72,386786255.16932,173243,97442.864,185910264.10163
2021-07-21 13:00:00,1898.42,1908.78,1892.03,1903.01,115484.617,219643463.09246,119321,58669.789,111602770.66316
2021-07-21 14:00:00,1903.01,1941.73,1903.01,1933.21,271711.4,522397480.32131,225213,145360.575,279537097.49192
2021-07-21 15:00:00,1933.2,1958.91,1925.53,1953.65,259342.141,503789639.11756,215669,132742.258,257950327.44347
2021-07-21 16:00:00,1953.65,2007.61,1947.24,1976.78,523371.239,1035796541.36387,361870,272416.54,539139247.11769
2021-07-21 17:00:00,1976.74,1981.17,1954.2,1971.89,308718.592,606800353.40696,223509,149326.35,293505540.77964
2021-07-21 18:00:00,1971.89,2038.0,1953.04,1956.28,614008.394,1224225225.34585,420072,303932.18,606453817.92615
2021-07-21 19:00:00,1956.29,1969.81,1935.57,1937.27,303770.968,593085524.17698,241948,149838.887,292666399.26009
2021-07-21 20:00:00,1937.26,1953.13,1931.42,1946.05,221905.413,430583818.74966,164492,114706.594,222613065.12399
2021-07-21 21:00:00,1946.05,1962.64,1938.69,1950.03,76680.901,149462726.74587,100598,40255.26,78478376.0009
2021-07-21 22:00:00,1949.75,1983.53,1949.68,1982.89,105637.022,207828462.92401,122561,59282.89,116659669.49441
2021-07-21 23:00:00,1982.64,1995.7,1970.27,1995.49,121748.826,241358278.21444,122646,65380.249,129616000.47872
2021-07-22 00:00:00,1995.5,2023.49,1980.56,1987.09,241954.972,484888917.6114,208737,116096.929,232709238.36983
2021-07-22 01:00:00,1987.21,1993.61,1975.03,1980.06,123161.52,244404250.58392,126402,61270.677,121615979.70378
2021-07-22 02:00:00,1980.06,1983.18,1959.2,1962.26,119060.834,234693357.82605,120769,55656.492,109737368.53923
2021-07-22 03:00:00,1962.26,1988.29,1960.76,1975.56,120134.954,237185118.95984,123185,64975.046,128314211.47821
2021-07-22 04:00:00,1975.56,2005.0,1972.32,1989.03,158277.806,314970459.94581,150350,80391.617,159987305.62349
2021-07-22 05:00:00,1989.04,1993.9,1963.1,1966.32,106897.574,211146694.41288,110784,49730.476,98248306.63682
2021-07-22 06:00:00,1966.31,1988.28,1962.36,1985.61,120669.757,238771892.81202,119292,66170.304,130958531.53859
2021-07-22 07:00:00,1985.61,2013.91,1982.12,1990.23,278403.822,556295927.02087,207374,133175.868,266130082.63331
2021-07-22 08:00:00,1990.34,2018.2,1984.17,2007.02,177480.995,355708669.25563,162604,92831.041,186061561.6432
2021-07-22 09:00:00,2007.02,2009.56,1967.31,1980.49,277144.688,549957409.95039,232572,131385.447,260701127.06135
2021-07-22 10:00:00,1980.48,1992.99,1972.78,1980.61,141831.95,281205409.73077,139097,68509.488,135862962.83372
2021-07-22 11:00:00,1980.54,1986.44,1966.0,1982.66,124913.124,246975081.06022,121226,62484.042,123556371.07011
2021-07-22 12:00:00,1982.66,2014.3,1945.0,2007.45,337699.852,667708384.97328,279310,179632.022,355522110.00272
2021-07-22 13:00:00,2007.45,2011.67,1985.18,1990.02,164707.069,328948475.58009,156017,80631.278,161068736.76515
2021-07-22 14:00:00,1990.02,2000.73,1974.59,1998.4,161665.544,321580389.31662,150028,85199.548,169537388.74048
2021-07-22 15:00:00,1998.39,2045.75,1993.35,2033.07,330409.294,666603231.34165,263278,182589.3,368459096.38502
2021-07-22 16:00:00,2033.13,2046.0,2012.61,2019.76,204775.811,414791992.84112,177756,97596.666,197740695.98131
2021-07-22 17:00:00,2019.75,2034.4,2018.03,2032.96,90589.73,183431545.33988,89440,45198.915,91535221.7203
2021-07-22 18:00:00,2033.08,2038.67,2016.72,2023.95,108030.532,218796687.55369,100333,53009.515,107375474.19466
2021-07-22 19:00:00,2023.94,2030.7,2019.1,2028.12,49794.136,100810071.34019,57535,23491.644,47564502.11011
2021-07-22 20:00:00,2028.12,2028.87,2010.21,2014.73,57003.371,115132747.23127,69352,25670.93,51858133.16048
2021-07-22 21:00:00,2014.67,2027.64,2002.71,2002.84,65180.044,131372426.3443,72502,29833.112,60168071.53367
2021-07-22 22:00:00,2002.95,2015.67,1989.0,2004.45,97988.067,196313621.26566,107242,48302.753,96806573.84568
2021-07-22 23:00:00,2004.46,2026.86,1997.97,2023.55,81795.074,164897467.75971,91899,42877.255,86436753.26875
2021-07-23 00:00:00,2024.0,2035.0,2013.6,2028.75,124994.535,253087121.85678,116596,65131.023,131903099.60482
2021-07-23 01:00:00,2028.75,2072.72,2025.66,2067.78,213388.57,438146891.32419,182580,119229.121,244775226.69578
2021-07-23 02:00:00,2067.57,2078.0,2055.01,2064.79,130761.488,270043297.37849,116791,62806.579,129753581.97476
2021-07-23 03:00:00,2064.79,2068.48,2051.0,2059.49,70022.45,144166067.92735,76484,33323.568,68609386.90154
